case,kind,indicator,snr_db,Px_ref,sigma,mc_id,t_first_any,t_valid,delay,premature_alarm,seed,indicator_name
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,0,6.722524999987668,6.722524999987668,1.3567547912004398,False,21260302,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,1,6.722524999987668,6.722524999987668,1.3567547912004398,False,21260303,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,2,6.742524999987621,6.742524999987621,1.3767547912003932,False,21260304,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,3,6.712524999987691,6.712524999987691,1.3467547912004632,False,21260305,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,4,6.732524999987644,6.732524999987644,1.3667547912004165,False,21260306,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,5,6.722524999987668,6.722524999987668,1.3567547912004398,False,21260307,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,6,6.732524999987644,6.732524999987644,1.3667547912004165,False,21260308,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,7,6.732524999987644,6.732524999987644,1.3667547912004165,False,21260309,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,8,6.712524999987691,6.712524999987691,1.3467547912004632,False,21260310,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,9,6.742524999987621,6.742524999987621,1.3767547912003932,False,21260311,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,10,6.712524999987691,6.712524999987691,1.3467547912004632,False,21260312,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,11,6.732524999987644,6.732524999987644,1.3667547912004165,False,21260313,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,12,6.722524999987668,6.722524999987668,1.3567547912004398,False,21260314,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,13,6.722524999987668,6.722524999987668,1.3567547912004398,False,21260315,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,14,6.732524999987644,6.732524999987644,1.3667547912004165,False,21260316,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,15,6.732524999987644,6.732524999987644,1.3667547912004165,False,21260317,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,16,6.722524999987668,6.722524999987668,1.3567547912004398,False,21260318,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,17,6.732524999987644,6.732524999987644,1.3667547912004165,False,21260319,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,18,6.722524999987668,6.722524999987668,1.3567547912004398,False,21260320,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,19,6.732524999987644,6.732524999987644,1.3667547912004165,False,21260321,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,20,6.722524999987668,6.722524999987668,1.3567547912004398,False,21260322,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,21,6.732524999987644,6.732524999987644,1.3667547912004165,False,21260323,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,22,6.732524999987644,6.732524999987644,1.3667547912004165,False,21260324,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,23,6.712524999987691,6.712524999987691,1.3467547912004632,False,21260325,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,24,6.742524999987621,6.742524999987621,1.3767547912003932,False,21260326,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,25,6.712524999987691,6.712524999987691,1.3467547912004632,False,21260327,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,26,6.722524999987668,6.722524999987668,1.3567547912004398,False,21260328,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,27,6.732524999987644,6.732524999987644,1.3667547912004165,False,21260329,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,28,6.732524999987644,6.732524999987644,1.3667547912004165,False,21260330,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,29,6.742524999987621,6.742524999987621,1.3767547912003932,False,21260331,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,30,6.722524999987668,6.722524999987668,1.3567547912004398,False,21260332,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,31,6.732524999987644,6.732524999987644,1.3667547912004165,False,21260333,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,32,6.752524999987598,6.752524999987598,1.38675479120037,False,21260334,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,33,6.732524999987644,6.732524999987644,1.3667547912004165,False,21260335,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,34,6.712524999987691,6.712524999987691,1.3467547912004632,False,21260336,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,35,6.742524999987621,6.742524999987621,1.3767547912003932,False,21260337,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,36,6.742524999987621,6.742524999987621,1.3767547912003932,False,21260338,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,37,6.742524999987621,6.742524999987621,1.3767547912003932,False,21260339,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,38,6.722524999987668,6.722524999987668,1.3567547912004398,False,21260340,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,39,6.712524999987691,6.712524999987691,1.3467547912004632,False,21260341,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,40,6.712524999987691,6.712524999987691,1.3467547912004632,False,21260342,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,41,6.742524999987621,6.742524999987621,1.3767547912003932,False,21260343,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,10.0,1.0126973666638687e-10,3.18229063201944e-06,42,6.722524999987668,6.722524999987668,1.3567547912004398,False,21260344,MaxEnt_SPRT
